Headwear,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484072/marketplace316/Headwear/gnqetpalowge0itcwy2l.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484072/marketplace316/Headwear/bcikm6vaica5gytpfqxl.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484073/marketplace316/Headwear/a8w6t6v8nks5sikld1ic.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484073/marketplace316/Headwear/w71kjwnhra4uji9mfs94.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484074/marketplace316/Headwear/uroyxo1uyz26wfgsd8wh.jpg']"
Apparel_Set,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484074/marketplace316/Apparel_Set/zrcjdi8stmwopjfd1kaf.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484075/marketplace316/Apparel_Set/nit7insdq6jghorbugv7.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484075/marketplace316/Apparel_Set/tws3eo8gzioygafcekle.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484076/marketplace316/Apparel_Set/mqqy410truktbibugixh.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484076/marketplace316/Apparel_Set/rink1baokfbg9pjuwgvc.jpg']"
Saree,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484076/marketplace316/Saree/xjhly5cz3igprxc6oktm.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484076/marketplace316/Saree/wsl3cijynmrfzfck455s.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484077/marketplace316/Saree/jdsphtynzf6rgxubqsgg.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484077/marketplace316/Saree/vr657q97ckhyemilyjwh.jpg']"
Skin,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484078/marketplace316/Skin/w3zxd4nlc3iizbpwpl9v.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484078/marketplace316/Skin/wjr116urf2n3blaetuyk.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484078/marketplace316/Skin/flmxaifql96qmms37gsc.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484079/marketplace316/Skin/kninko62q4tea2wi4cs1.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484079/marketplace316/Skin/dre1oq1zbfxy09y8eysk.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484079/marketplace316/Skin/miwk4vrc1zud3vtoyuwm.jpg']"
Eyewear,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484080/marketplace316/Eyewear/pjnb7wysu3s9botu0813.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484080/marketplace316/Eyewear/rh1mrwffsudrqg9fvj1t.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484080/marketplace316/Eyewear/tu4kyaob048p3pf1qwig.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484081/marketplace316/Eyewear/c3ddd3ecs9kqdneqy1zq.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484081/marketplace316/Eyewear/i3rtmylvfnwsuuekjczz.jpg']"
Accessories,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484082/marketplace316/Accessories/z2py3tqpov6iinzbnwxm.png', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484082/marketplace316/Accessories/anfa0ozfdvz3rflssug7.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484082/marketplace316/Accessories/ghigygorbzpmpblovhi6.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484083/marketplace316/Accessories/ifiv543istp6uojdzg7b.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484083/marketplace316/Accessories/frkcqy90zirkk8jrypm6.jpg']"
Nails,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484083/marketplace316/Nails/ioxao3s8nohvzmu9rkf8.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484085/marketplace316/Nails/isa918vzxgy9fl1b8gkj.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484085/marketplace316/Nails/uqfovoonrh6lfxtvpfyx.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484086/marketplace316/Nails/ogy2p6jauikb3ngqf9wo.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484086/marketplace316/Nails/eqescy2qrjnyuxa8rlqq.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484086/marketplace316/Nails/ntexa3m01u9cv1zdtbby.jpg']"
Topwear,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484087/marketplace316/Topwear/sgcai9knwukgket2q4kk.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484088/marketplace316/Topwear/cswydhzffeikvrhfyft8.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484088/marketplace316/Topwear/dtpwp0vdshxsge2abehl.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484089/marketplace316/Topwear/tk07bxbhgsf4vmuictgr.jpg']"
Belts,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484089/marketplace316/Belts/ryvdg6lgzp60ifzlfw75.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484089/marketplace316/Belts/f34cea35rta1xyqs7flz.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484090/marketplace316/Belts/qejslpxcea4zy0vpxyhl.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484090/marketplace316/Belts/ex0d8ousfgdfh6tjdmcy.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484091/marketplace316/Belts/ioffc2vfbs1mvuwlkvue.jpg']"
Shoe_Accessories,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484091/marketplace316/Shoe_Accessories/agjaatgn3y5zwmtdwdzw.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484091/marketplace316/Shoe_Accessories/tvshhv3vbxeb5e7xxmwq.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484092/marketplace316/Shoe_Accessories/acmo3fxa0khrv76tubto.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484092/marketplace316/Shoe_Accessories/ckj6hs75bl2flic4sj5l.jpg']"
Watches,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484093/marketplace316/Watches/tbsdiufzzaoctyz9nkpq.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484093/marketplace316/Watches/lnbw5hgfqvc7o0twovke.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484093/marketplace316/Watches/bkkfv7evcyihpbeiql6q.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484094/marketplace316/Watches/jn9fhpws2dqsh17f3pqk.jpg']"
Mufflers,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484094/marketplace316/Mufflers/enhh7j9jwf7q531jieap.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484095/marketplace316/Mufflers/fve6vkenpcaasao1yuap.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484095/marketplace316/Mufflers/mla57wvlwtrhz0o04e0q.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484095/marketplace316/Mufflers/adbjn7kdabwzdjkmqlr9.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484095/marketplace316/Mufflers/qp8zyrfnwulduwxxf3a7.jpg']"
Clothing,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484096/marketplace316/Clothing/yigil9qsoge6s0ajasjk.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484096/marketplace316/Clothing/fxd8qu52w8wexmsiksgq.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484096/marketplace316/Clothing/p62jykwbdegq7q0rwhgc.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484097/marketplace316/Clothing/i5w00l5owzdgi6jgo3i5.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484097/marketplace316/Clothing/wa0mm27u5yqn3ptxg4tb.jpg']"
Electronics,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484097/marketplace316/Electronics/eptuq7oqj45thqrgihig.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484098/marketplace316/Electronics/nsr0vasasvzutecqechk.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484099/marketplace316/Electronics/accmtrxxqiqmjapsxkiy.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484099/marketplace316/Electronics/qxgk1cqqcdfiqzdnzneu.jpg']"
Dress,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484099/marketplace316/Dress/kw4ptdvjpns3ducfvnzo.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484100/marketplace316/Dress/rutbnm7hacqjenx0jp0i.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484100/marketplace316/Dress/eljbnhlybouwgh8hkybv.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484101/marketplace316/Dress/ds8bulb88ci2ebdpknqe.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484101/marketplace316/Dress/ptdp09w28hdq86zixaft.jpg']"
Appliances,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484101/marketplace316/Appliances/gj1jpbwiun4egql137lz.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484102/marketplace316/Appliances/knzko6xkrvevdefpigzv.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484102/marketplace316/Appliances/oxmvnellzweqhutag5ma.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484103/marketplace316/Appliances/qy3typavvs7yxqfyd03r.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484103/marketplace316/Appliances/dkyymh4zam3onfbiy7yj.jpg']"
Sports_Jerseys,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484103/marketplace316/Sports_Jerseys/iq345euqqqiospkc5q41.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484104/marketplace316/Sports_Jerseys/fxulsspsekrdkqvxyf0z.png', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484104/marketplace316/Sports_Jerseys/bprkmllnfzpoi5dx8m2j.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484104/marketplace316/Sports_Jerseys/ptdxlkzxrmkw0f5fhhdl.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484105/marketplace316/Sports_Jerseys/qtgtgvlp2t6bodvqpszd.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484105/marketplace316/Sports_Jerseys/sgqafyvxlbcekdgb6a8x.jpg']"
Textbooks,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484106/marketplace316/Textbooks/qnya1zrc0chkukibsnir.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484106/marketplace316/Textbooks/fmzzgednvbdwfnwxptqi.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484107/marketplace316/Textbooks/zrwhgbaj0zzbomctlwnd.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484107/marketplace316/Textbooks/uahmjcbto3mg89n8rtfw.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484107/marketplace316/Textbooks/ostz0ulgjgtldhfys2h9.jpg']"
Jewellery,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484108/marketplace316/Jewellery/broyvodq9sdgaadmqi7b.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484108/marketplace316/Jewellery/tepcvvorh5ebekxq99fq.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484108/marketplace316/Jewellery/e95hfmtglhycwy8xqojs.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484109/marketplace316/Jewellery/ubnbe2yot9wtwtob6dke.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484109/marketplace316/Jewellery/dksl03edxsqyc4hoe59s.jpg']"
